product_id,brand_name,generic_name,manufacturer,dosage_form,strength,pack_size,price,discount_percent,final_price,is_prescription_required,drug_type,therapeutic_class,storage_condition,shelf_life_months,country,availability_status,rating,num_reviews,contains_ai_generated_label
P00001,HealPlus,Atorvastatin,Global Remedies,Syrup,250mg,15,1788.16,20,1430.53,Yes,OTC,Antihypertensive,Refrigerated,17,UK,In stock,2.6,274,No
P00002,Medix,Paracetamol,ABC Pharma,Syrup,100mg,10,1640.42,20,1312.34,Yes,OTC,Antacid,Refrigerated,14,USA,Out of stock,5.0,33,No
P00003,HealPlus,Paracetamol,Global Remedies,Ointment,250mg,15,1016.76,20,813.41,No,Prescription,Antibiotic,Room Temp,21,India,In stock,3.2,404,Yes
P00004,Medix,Paracetamol,Global Remedies,Tablet,50mg,20,1323.78,0,1323.78,Yes,OTC,Antacid,Room Temp,13,Bangladesh,In stock,2.7,116,Yes
P00005,LifeCare,Metformin,Medicare Ltd,Ointment,50mg,20,652.83,20,522.26,Yes,Prescription,Antidiabetic,Refrigerated,20,USA,In stock,3.2,471,Yes
P00006,BioTrust,Atorvastatin,Nova Life,Tablet,100mg,30,1339.89,20,1071.91,No,Prescription,Antidiabetic,Room Temp,13,India,Limited,3.6,337,Yes
P00007,BioTrust,Paracetamol,Nova Life,Syrup,50mg,20,885.9,5,841.61,Yes,Prescription,Antacid,Room Temp,14,Bangladesh,In stock,2.6,407,No
P00008,HealPlus,Atorvastatin,ABC Pharma,Capsule,50mg,15,722.94,10,650.65,Yes,OTC,Antidiabetic,Room Temp,16,Bangladesh,Limited,4.1,133,No
P00009,Medix,Omeprazole,Nova Life,Tablet,100mg,10,315.02,20,252.02,No,OTC,Analgesic,Refrigerated,18,UK,Limited,4.1,282,Yes
P00010,Medix,Metformin,Medicare Ltd,Ointment,50mg,10,1366.12,5,1297.81,Yes,Prescription,Antidiabetic,Refrigerated,33,USA,Out of stock,3.6,118,Yes
P00011,BioTrust,Metformin,ABC Pharma,Syrup,50mg,20,1544.93,10,1390.44,Yes,OTC,Antidiabetic,Room Temp,26,USA,In stock,3.7,422,Yes
